"song" "line" "artist"
"92" "The Seer/Bring the Sun/Toussaint L’Ouverture" "From!" "Swans"
"93" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Home!" "Swans"
"94" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Home!" "Swans"
"95" "The Seer/Bring the Sun/Toussaint L’Ouverture" "*Horse galloping and neighing*" "Swans"
"96" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Toussaint!" "Swans"
"97" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Toussaint L'ouvеrture!" "Swans"
"98" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Toussaint!" "Swans"
"99" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Toussaint L'ouverture!" "Swans"
"100" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Libеrté!" "Swans"
"101" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Egalité!" "Swans"
"102" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Fraternité!" "Swans"
"103" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Sangre de Dios!" "Swans"
"104" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Hijo de Dios!" "Swans"
"105" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Amor de Dios!" "Swans"
"106" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Sangre es Vida!" "Swans"
"107" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Vida es Sangre!" "Swans"
"108" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Sangre es Amor!" "Swans"
"109" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Amor es Sangre!" "Swans"
"110" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Toussaint!" "Swans"
"111" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Toussaint L'ouverture!" "Swans"
"112" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Toussaint L'ouverture!" "Swans"
"113" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Freedom!" "Swans"
"114" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Freedom!" "Swans"
"115" "The Seer/Bring the Sun/Toussaint L’Ouverture" "Ellos!" "Swans"
"116" "Eden Prison" "Within the walls of Eden Prison" "Swans"
"117" "Eden Prison" "There is a mark upon a stone" "Swans"
"118" "Eden Prison" "And in this place a life was written" "Swans"
"119" "Eden Prison" "And there a stain was laid where I was born" "Swans"
"120" "Eden Prison" "Now, moving through the roots of trees" "Swans"
"121" "Eden Prison" "Deep may their fingers reach" "Swans"
"122" "Eden Prison" "The substance of a mind that feeds" "Swans"
"123" "Eden Prison" "The bodies of the living stones that lead" "Swans"
"124" "Eden Prison" "Up to become the walls of Eden Prison" "Swans"
"125" "Eden Prison" "The supine wild beast upon the slab" "Swans"
"126" "Eden Prison" "Would gladly rip the throat from God" "Swans"
"127" "Eden Prison" "If only he could reach up to his white ass" "Swans"
"128" "Eden Prison" "And I am free and will never breathe again" "Swans"
"129" "Eden Prison" "Within the greasy ochre walls of Eden Prison" "Swans"
"130" "Eden Prison" "I am free, I will begin again" "Swans"
"131" "Eden Prison" "I am free, I will begin again" "Swans"
"132" "Eden Prison" "I am free of the choking hold" "Swans"
"133" "Eden Prison" "That began in Eden Prison" "Swans"
"134" "Eden Prison" "We are free, we are free" "Swans"
"135" "Eden Prison" "We are free, we are free" "Swans"
"136" "Eden Prison" "But the ships, they sail a sea" "Swans"
"137" "Eden Prison" "Of glistening turning crimson" "Swans"
"138" "Eden Prison" "They are carrying a cargo to unload" "Swans"
"139" "Eden Prison" "At Eden Prison" "Swans"
"140" "Bring the Sun / Toussaint L’Ouverture" "Aaaaaaaaaaah" "Swans"
"141" "Bring the Sun / Toussaint L’Ouverture" "Ooooooooooh" "Swans"
"142" "Bring the Sun / Toussaint L’Ouverture" "Aaaaaaaaaaah" "Swans"
"143" "Bring the Sun / Toussaint L’Ouverture" "Oooooooooh" "Swans"
"144" "Bring the Sun / Toussaint L’Ouverture" "Bring the sun, spins around and around and around" "Swans"
"145" "Bring the Sun / Toussaint L’Ouverture" "Bring the sun, spins around and around and around" "Swans"
"146" "Bring the Sun / Toussaint L’Ouverture" "Bring the sun, spins around and around and around" "Swans"
